Unnamed: 0,Title,Poem,Poet,Tags,Primary_Tag,Random_Tag
148,"
                    So they stood
                ","
So they stood
Upon ladders
With pruning hooks
Backs to the king
Who took his leave
Of gardening
This morning
I am forlorn
As he was then
No one born
After the war
Remembers when
",Samuel Menashe,"Activities,Gardening,Social Commentaries,History & Politics,War & Conflict",Activities,Activities
29,"
                    Flat White Afternoon
                ","
Forget about it for you’ll never win, never hit the jackpot,move in to a solar-powered eco mansion and modestphilanthropy, become a panjandrum of diaphanous pleasuresbut must sink or swim beneath mood-mutable skies, coconut milk clouds, in the shadow of high flats,low sales, bright fronts, strung crowds of literally miraculouspeople in expensive skin like bed sheetsyou would wrap yourself in and which you now touch lightly as you enterthis café past a clutch of mitching schoolgirlswith pierced noses and Tintin hairdos who lookat you as if to say is it dial-a-dickhead day in here?or maybe that’s aimed instead at the guy eating flatbread with five thousandfriends on his phone who types with a grin all is well with the world,when all is not well with the world — the burden of debtas your granny might say heavy as sin —  although who would begrudgethis incense of crushed coffee in steam this clatter and chatterlatex flowers under halogen lights and who’d demean that womanwith her small child wiping the small child’s chin to the delight of a lonelywell-off older person or w.o.o.p. —  I believe they call themwoopies — at the next table over who scoops two shaking spoonsof sugar into a steaming cup then begins to call her sonOh my lost Son asking after her granddaughter while the mitching girlsswagger out the door — look, one forgot her phone — ah good,someone caught her —  and who would begrudge the yin and yang of this momentsitting here coming or going anyone and no onehere or somewhere else stuck nowhere and flowing in the mix like everyonefor you are blurring below indigo and ink-dim skies as time passesby like steam vapors into the run-of-the-mill gray coat you put onpausing, before leaving to meet this falling day which as your grannymight say is the only day you’re in.
",Alan Gillis,"Living,Life Choices,The Mind,Time & Brevity,Activities,Eating & Drinking,Indoor Activities,Social Commentaries,Cities & Urban Life",Living,Activities
117,"
                    LA Odyssey
                ","
I almost insist on the words

                                                 as doors left swinging

 

from the force no one saw

 

                                             A wrap around hotel

 

                                             with empty courtyard

 

                                             boarded up, sprayed white

 

                    Hiding Out.

 

      Nick is too kind

                                   two black

                          and slowly moving marbles against flesh

 

Sara, a model of containment

 

                                             Brian is luminous (all eyes)

               

                             twin fires beyond the pit

                                                                            that only crackles green

 

                              brighter than the edges of the neon

                                                                                               lining Fairfax

 

                                                                          Family Books

 

                                                                                                    The Films of Robert Blake

 

                                                                                                             We score a trim ocean blue

                                                                               

                                                                                           windbreaker

 

                                      and Dinosaurs of the Land, Sea & Air

 

I slipped away from the bench

                                                       when they brought

                                                                               the car around

 

My black hobo sack abandoned

 

and thought a bomb. I was seamlessly high on my air heels and driven

 

                                          away to where the camera could not follow
 

8-4-13
",Cedar Sigo,"Activities,Travels & Journeys,Social Commentaries,Cities & Urban Life",Activities,Activities
143,"
                    Snow Day
                ","
Today we woke up to a revolution of snow,   
its white flag waving over everything,
the landscape vanished,
not a single mouse to punctuate the blankness,   
and beyond these windows
the government buildings smothered,
schools and libraries buried, the post office lost   
under the noiseless drift,
the paths of trains softly blocked,
the world fallen under this falling.
In a while, I will put on some boots
and step out like someone walking in water,   
and the dog will porpoise through the drifts,   
and I will shake a laden branch
sending a cold shower down on us both.
But for now I am a willing prisoner in this house,   
a sympathizer with the anarchic cause of snow.   
I will make a pot of tea
and listen to the plastic radio on the counter,   
as glad as anyone to hear the news
that the Kiddie Corner School is closed,   
the Ding-Dong School, closed.
the All Aboard Children’s School, closed,   
the Hi-Ho Nursery School, closed,
along with—some will be delighted to hear—
the Toadstool School, the Little School,
Little Sparrows Nursery School,
Little Stars Pre-School, Peas-and-Carrots Day School   
the Tom Thumb Child Center, all closed,
and—clap your hands—the Peanuts Play School.
So this is where the children hide all day,
These are the nests where they letter and draw,   
where they put on their bright miniature jackets,   
all darting and climbing and sliding,
all but the few girls whispering by the fence.
And now I am listening hard
in the grandiose silence of the snow,
trying to hear what those three girls are plotting,   
what riot is afoot,
which small queen is about to be brought down.
",Billy Collins,"Activities,School & Learning,Nature,Weather",Activities,Activities
101,"
                    To Fishermen
                ","
No more savage art: filleting: a deft pressure along the 
    backbonefrom tail fan to the red gills: fighting mystery with a 
    honed bladethrough the small bones: salt and scales on face and 
    hands:: the Greek God,as well, found flesh unmysterious, but in anger and
   disappointment:—seagull cries, your music, are all about you: Apollonian 
    but hungrier: nature is hungry::the brave fish dies the birds swoop for the insides in no
   lovelier spirals.
",Carol Frost,"The Body,Activities,Sports & Outdoor Activities,Nature,Animals",The Body,Activities
5,"
                    The Future
                ","



(Detroit, 1950)



Because the jobs were there
and a man could get rich
working on the line, the South
retreated North to Michigan,
whole families eating crackers and baloney
by the side of the road,
changing drivers to keep
moving through corn fields
and foreign towns,
sundown and darkness,
the moon a prophecy of chrome,
the stars 10 million headlights
of the cars they would build.
Ahead lay a city bright with steel;
behind, the dark fields folded
over everything they knew;
and when they dozed
on cramped back seats, they dreamed
such dreams as the road can make,
of drifting on a lake or stream
or lying down in hay to dream of traveling,
so that when they woke to a bump,
a couch, a voice saying, “It’s your turn,”
they were lost to themselves
and took a few moments
to remember their names.
Mostly behind their backs,
the locals called them
rednecks, crackers, goddamned rebs.
Strange to be strange,
in their new neighborhoods,
to be ethnic with a thick accent
and a taste for food the grocers didn’t stock—
hog jowl and blackeyes, turnip greens,
roasting ears, souse-meat—
the butcher shrugging,
the produce man shaking his head.
Sometimes their own voices
took them by surprise,
sounding odd and out of place
in the din of a city bus, ringing
lost in the evening air when
they called their children in for supper.
At work they touched
parts of tomorrow,
next year’s models always
taking shape and vanishing,
the present obsolete, the past
merely a rumor,
all hours blurring
into one continuous moment
of finishing a fragment,
each piece the same piece,
movements identical,
endless, like a punishment in hell.
No way out but back
to their old lives, a future
they already knew by heart,
a few on the road each month
in cars they may have helped assemble,
tokens of their failed success,
legacies for boys to find
years later rusting on some lot,
banged up but still a dream
and fast enough when overhauled
to make them feel they could blast
straight into tomorrow,
as they raced their engines at each stoplight
and cruised their towns in circles.
",Neal Bowers,"Activities,Jobs & Working,Social Commentaries",Activities,Activities
69,"
                    The Ungovernable
                ","
One thing I’m not doing in my poems: reporting
on anything that really happened.
 
When I say I’m from New York, Glaswegians say, “Oh, I love Woody
Allen.” They cannot construe how large a state can be. I just happen to
actually be from Manhattan.
 
How impractical, to imagine that a structure like a government would be
responsive to the needs of such a lot of people. Held like in a holding pen.
 
In the early 1990s I saw a yellow Indian drunk in a tattoo parlor in
Seattle. He literally said he could literally see right through me. If he said
it figuratively I took it literally.
 
A lot of people in America do not want regulation from the government.
In principle: our forefathers, our persecution. Ideally we wouldn’t need
industries and individual actions to be regulated. We wouldn’t even need
laws.
 
People, including people who run corporations or work for them, would
just behave responsibly. Corporations would take the responsibility of
personhood seriously.
 
My mother cannot be trusted to restrict me from buying R-rated
videogames at the porn store.
 
My mother struggled to love me—the firstborn had been so tractable—she
still struggles to love me—can she be commanded to love me? Now I see
what those commandments are about. There must be a God.
 
Objectively we could expect that our family members would go out of
their way to behave toward us with extra care, concern, and with love.
 
Sometimes there is a harsh disjunction between what objective perception
would suggest to us we might expect and what really takes place, or
“occurs,” within the framework of what we call “our lives.”
 
I really saw the other day for the first time that my mother did not
naturally take to me—I am not much like her. It would take an effort for
her to understand what matters to me. (Her love will come around.)
 
My own daughter is quite different from me—I think—it’s hard to tell, she
is only five years old. But she looks different—takes after her father, as I
took after mine—and so far her concerns are not my own. She loves pink.
I hate pink. (My love moves faster.)
 
Where would that moral activity come from, to behave responsibly
toward others? Not to overcharge, not to seek loopholes, not to dominate,
not to oppress. Does anyone consciously oppress? I guess some spousal
abuse comes from the pure urge to dominate, and the ire that results when
that domination is resisted, or thwarted . . .
 
But is it a pure urge or is it coming from an inscribed narrative of gendered
hierarchy? Like a man wearing a wife-beater has been told too many times
that his wife is supposed to listen to him and obey him. Now if he can be
told by the government that “My Strength Is Not for Hurting,” a local
billboard campaign, maybe that will ring in his ears when he lifts his fist.
 
If the government doesn’t do it, who will do it? The church used to do
it, and still does. The one time I went to church, with my mother, in
Tennessee, when we were at a family reunion and the whole family had
certain activities, and one of them was “church on Sunday,” I was brought
to tears by the simple goodness of the message that the pastor, or reverend
—minister?—this was a Methodist church—was preaching. It was Father’s
Day, actually, and he talked about how fathers ought to make sure to
spend time with their kids. Turn off the TV, he said, and spend some
time with your kids.
 
I was crying because I am not used to an experience of shared instruction
in goodness. It was very moving to be in a room with real people all
receiving the same instruction.
",Rebecca Wolff,"Living,Parenthood,Activities,School & Learning,Relationships,Men & Women,Social Commentaries,History & Politics",Living,Activities
101,"
                    Peach
                ","
Would you like to throw a stone at me?
Here, take all that’s left of my peach.
 
Blood-red, deep:
Heaven knows how it came to pass.
Somebody’s pound of flesh rendered up.
 
Wrinkled with secrets
And hard with the intention to keep them.
 
Why, from silvery peach-bloom,
From that shallow-silvery wine-glass on a short stem
This rolling, dropping, heavy globule?
 
I am thinking, of course, of the peach before I ate it.
 
Why so velvety, why so voluptuous heavy?
Why hanging with such inordinate weight?
Why so indented?
 
Why the groove?
Why the lovely, bivalve roundnesses?
Why the ripple down the sphere?
Why the suggestion of incision?
 
Why was not my peach round and finished like a billiard ball?
It would have been if man had made it.
Though I’ve eaten it now.
 
But it wasn’t round and finished like a billiard ball;
And because I say so, you would like to throw something at me.
 
Here, you can have my peach stone.
                                                                                 San Gervasio
 
",D. H. Lawrence,"Activities,Eating & Drinking,Nature",Activities,Activities
84,"
                    Flatirons
                ","
                                           IFrom the false summit, coxcomb-cum-arête,cool thermals underscore our frailties,past edges where our wingless feet are set and the long look down dilutes the evergreens.As sandstone ends, the world of ghosts begins—they sometimes rise up still in dreams, my love.With one hand firm, I step onto the skinof the abyss, embracing what’s aboveand severing spent ties to the scree below. The filtered light turns lichen eerie green,ushering in a world we hardly know,at least not one we’re sure we’ve ever seenjust so, each climber brand new in his skin,no longer mired in waiting to begin.                                           ii",David Yezzi,"Living,Time & Brevity,Activities,Sports & Outdoor Activities,Travels & Journeys",Living,Activities
116,"
                    The Moose
                ","



Highlight Actions
Enable or disable annotations







For Grace Bulmer BowersGrace Bulmer Bowers Elizabeth Bishop’s aunt



From narrow provinces   
of fish and bread and tea,   
home of the long tides
where the bay leaves the sea   
twice a day and takes
the herrings long rides,
where if the river
enters or retreats
in a wall of brown foam   
depends on if it meets   
the bay coming in,
the bay not at home;
where, silted red,
sometimes the sun sets   
facing a red sea,
and others, veinsveins Used as a verb: to extend over or mark with lines, as in the manner of veins the flats’   
lavender, rich mud
in burning rivuletsrivulets A small stream or brook;
on red, gravelly roads,
down rows of sugar maples,   
past clapboard farmhouses   
and neat, clapboard churches,   
bleached, ridged as clamshells,   
past twin silver birches,
through late afternoon
a bus journeys west,
the windshield flashing pink,   
pink glancing off of metal,   
brushing the dented flank   
of blue, beat-up enamel;
down hollows, up rises,   
and waits, patient, while   
a lone traveller gives   
kisses and embraces
to seven relatives
and a collie supervises.
Goodbye to the elms,   
to the farm, to the dog.   
The bus starts. The light   
grows richer; the fog,   
shifting, salty, thin,
comes closing in.
Its cold, round crystals   
form and slide and settle   
in the white hens’ feathers,   
in gray glazed cabbages,   
on the cabbage roses
and lupinslupins A tall, flowering plant (Lupinus) in the legume family; its seeds (lupin beans) have been used as food like apostlesapostles A plant native to Brazil with large, fragrant white and purple flowers;
the sweet peas cling
to their wet white string   
on the whitewashed fences;   
bumblebees creep
inside the foxglovesfoxgloves A colorful perennial flower, with cup-shaped buds.,
and evening commences.
One stop at Bass RiverBass River All locations in Nova Scotia near the Bay of Fundy.   
Then the EconomiesEconomies Locations (Lower Economy, Middle Economy, and Upper Economy) in Nova Scotia near the Bay of Fundy—
Lower, Middle, Upper;   Five IslandsFive Islands All locations in Nova Scotia near the Bay of Fundy, Five HousesFive Houses All locations in Nova Scotia near the Bay of Fundy,
where a woman shakes a tablecloth   
out after supper.
A pale flickering. Gone.   
The Tantramar marshesTantramar marshes On the Chignecto Isthmus connecting Nova Scotia and New Brunswick, Canada   
and the smell of salt hay.   
An iron bridge trembles   
and a loose plank rattles   
but doesn’t give way.
On the left, a red light   
swims through the dark:   
a ship’s port lantern.   
Two rubber boots show,   
illuminated, solemn.   
A dog gives one bark.
A woman climbs in
with two market bags,   
brisk, freckled, elderly.   
“A grand night. Yes, sir,   
all the way to Boston.”   
She regards us amicably.
Moonlight as we enter
the New Brunswick woods,   
hairy, scratchy, splintery;   
moonlight and mist
caught in them like lamb’s wool   
on bushes in a pasture.
The passengers lie back.   
Snores. Some long sighs.   
A dreamy divagationdivagations Wanderings   
begins in the night,
a gentle, auditory,
slow hallucination....
In the creakings and noises,   
an old conversation
—not concerning us,
but recognizable, somewhere,   
back in the bus:
Grandparents’ voices
uninterruptedly
talking, in Eternity:
names being mentioned,   
things cleared up finally;   
what he said, what she said,   
who got pensionedpensioned Dismissed from employment, typically because of age or health; paid a pension.;
deaths, deaths and sicknesses;   
the year he remarried;
the year (something) happened.   
She died in childbirth.
That was the son lost
when the schooner founderedschooner foundered A ship that has sunk or filled with water.
He took to drink. Yes.
She went to the bad.
When Amos began to pray   
even in the store and
finally the family had
to put him away.
“Yes ...” that peculiar   
affirmative. “Yes ...”
A sharp, indrawn breath,   
half groan, half acceptance,   
that means “Life’s like that.   
We know it (also death).”
Talking the way they talked   
in the old featherbed,   
peacefully, on and on,
dim lamplight in the hall,   
down in the kitchen, the dog   
tucked in her shawl.
Now, it’s all right now   
even to fall asleep
just as on all those nights.   
—Suddenly the bus driver   
stops with a jolt,
turns off his lights.
A moose has come out of
the impenetrable wood
and stands there, looms, rather,   
in the middle of the road.
It approaches; it sniffs at
the bus’s hot hood.
Towering, antlerless,   
high as a church,
homely as a house
(or, safe as housessafe as houses Totally safe).
A man’s voice assures us   
“Perfectly harmless....”
Some of the passengers   
exclaim in whispers,   
childishly, softly,
“Sure are big creatures.”   
“It’s awful plain.”   
“Look! It’s a she!”
Taking her time,
she looks the bus over,   
grand, otherworldly.   
Why, why do we feel   
(we all feel) this sweet   
sensation of joy?
“Curious creatures,”
says our quiet driver,   
rolling his r’s.
“Look at that, would you.”   
Then he shifts gears.
For a moment longer,
by craning backward,   
the moose can be seen
on the moonlit macadammacadam Road, pavement;   
then there’s a dim
smell of moose, an acridacrid Pungent, irritating   
smell of gasoline.
",Elizabeth Bishop,"Activities,Travels & Journeys,Nature,Animals",Activities,Activities
34,"
                    Picking up Your Spilled Pills off the Floor Is Briefly Humbling
                ","
I was humbled when my boss mocked me
for calling from vacation
I’m broke again
until Friday
from my bed
I see the lights, I see
the party lights
it’s torture
a post-Fordist allegory?
I appropriated a corporate apology
and saved it
in case something happened
but my end date came
and my vacation days paid out
I bought pills
from the intern I’d hired
on my way out
by the seaport
I texted you
we made plans to drink
I like your poochie print workout clothes
the credit card you keep for emergencies
I bought a book
from Strand Annex
though the poetics
weren’t to my taste
later the author died
I was nervous
in those days
always in need
my dark heart, my secret
poetry, my drug-filler
cut into my life and love
that it and I may last
",Ben Fama,"Activities,Jobs & Working,Arts & Sciences,Poetry & Poets,Social Commentaries,Money & Economics",Activities,Activities
15,"
                    What the Birds Said
                ","
The birds against the April wind
 Flew northward, singing as they flew;They sang, “The land we leave behind
 Has swords for corn-blades, blood for dew.”“O wild-birds, flying from the South,
 What saw and heard ye, gazing down?”“We saw the mortar’s upturned mouth,
 The sickened camp, the blazing town!“Beneath the bivouac’s starry lamps,
 We saw your march-worn children die;In shrouds of moss, in cypress swamps,
 We saw your dead uncoffined lie.“We heard the starving prisoner’s sighs
 And saw, from line and trench, your sonsFollow our flight with home-sick eyes
 Beyond the battery’s smoking guns.”“And heard and saw ye only wrong
 And pain,” I cried, “O wing-worn flocks?”“We heard,” they sang, “the freedman’s song,
 The crash of Slavery’s broken locks!“We saw from new, uprising States
 The treason-nursing mischief spurned,As, crowding Freedom’s ample gates,
 The long-estranged and lost returned.“O’er dusky faces, seamed and old,
 And hands horn-hard with unpaid toil,With hope in every rustling fold,
 We saw your star-dropt flag uncoil.“And struggling up through sounds accursed,
 A grateful murmur clomb the air;A whisper scarcely heard at first,
 It filled the listening heavens with prayer.“And sweet and far, as from a star,
 Replied a voice which shall not cease,Till, drowning all the noise of war,
 It sings the blessed song of peace!”So to me, in a doubtful day
 Of chill and slowly greening spring,Low stooping from the cloudy gray,
 The wild-birds sang or seemed to sing.They vanished in the misty air,
 The song went with them in their flight;But lo! they left the sunset fair,
 And in the evening there was light.
",John Greenleaf Whittier,"Activities,Travels & Journeys,Social Commentaries,History & Politics,Race & Ethnicity,War & Conflict",Activities,Activities
17,"
                    A Motor
                ","
The heavy, wet, guttural
small-plane engine
fights for air, and goes down in humid darkness
about where the airport should be.
I take a lot for granted,
not pleased to be living under the phlegm-
soaked, gaseous, foggy and irradiated
heavens whose angels wear collars in propjets
and live elsewhere in Clean Zones,
but figuring the air is full of sorrows.
I don’t blame
the quick use of the entire earth
on the boozy
pilot
come down to get a dose of cobalt
for his cancer. He’s got
a little life left, if
he doesn’t have to take all day to reach it.
With the black patches
inside him, and
the scars and the streaks and the sick stomach,
his life is more and more like
that of the lowliest child chimney sweep
in the mind of the great insensible,
William Blake. William Blake,
the repeated one, Blake, half mad,
half remembered,
who knew his anatomy, down to
the little-observed muscle in the shoulder
that lifts the wing.
The little London chimney sweeper
reaches up and reaches down.
In his back,
every vertebra is separated from the long
hours of stretching.
With one deep, tired breath,
the lungs go black.
By the Holiday Company crane,
adding a level to the hospital,
on the highest land in the county,
heavy sits the pure-white Air Care
helicopter, with
its bulging eye.
It has kept many going, a good buy,
something.
Now someone I know says Blake
in anger,
angry for his brother in the factory
and his sister on the ward,
but tonight I have no more anger
than the muscle
that lifts my knee when I walk.
Another pleads with the ocean
that the words for
suffering and trouble
take place in a sound that will be all sounds
and in the tidal roll
of all our lives and every event,
but I am silent by water,
and am less to such power
than a failed lung.
And I think it is only a clever trick to know
that one thing may be contained
in another. Hence,
Blake in the sweep, one in the ground
in one in the air,
myself in the clinic for runaway cells,
now and later.
",Marvin Bell,"Activities,Jobs & Working,Arts & Sciences,Poetry & Poets,Social Commentaries,Cities & Urban Life",Activities,Activities
